poetry_ground_truth,text,poetry_generated_Seq2Seq_with_Att
شد از خویش و پیوند و سرشت / کردهای در چشم او هر خوب خبر,انان را از اعمال و عادات و طبیعتشان بردهای یعنی خلاصشان کردهای. و چیز خوب و زیبا را در نظر انان زشت و بد جلوه دادهاست. به عبارت دیگر از حیز محسوسات خارج و فرار کردهای.,تا که که در تو را <end> 
بردهای از خویش و پاک و سرشت / کردهای در چشم او هر خوب روی,خود را از خویشتن و خویشاوندان و اقوام بردهای یعنی خلاصشان کردهای. و چیز خوب و زیبا را در نظر خویش زشت و بد جلوه دادهای. به عبارت دیگر از دیار خود گریخته و فرار کردهای.,تا که که در تو را <end> 
هر چه محسوس است او رد میکند / و یا ناپیداست مسند میکند,چنین عارف عارفی هر چیز ضروری و قریب به عالم باطنی را پس زده و به عالم غیب تکیه میکند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هر چه محسوس است او رد میکند / و تو ناپیداست مسند میکند,چنین و عارفی هر چیز محسوس و متعلق به ان است را پس میزند و به عالم غیب رجوع میکند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
عشق او پیدا و معشوقش نهان / هم بیرون شده او در جهان,چنین کسی عشق و دوستی اش اشکار و معشوقش پنهان است. به همین مناسبت حضرت علی در بیرون از این بند پنهان است ولی میل به عشق او در همین است..,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
این رها ندارد هیچ صورتی / نیست بر صورت نه بر روی ستی,این پندارهای یاوه را که خیال کنی بر صورتهای عرضی و محسوس نیز میتوان اصرار ورزید. رها کن زیرا که حتی در عشقهای صوری و ظاهری نیز عشق به صورت و ظاهر معشوق تعلق نمیگیرد. بلکه جان و جسم معشوق است که موجب عشق و محبت میشود.,تا که که در تو را <end> 
این رها کن روی صورتی / نیست بر صورت نه بر روی صورتی,این پندارهای یاوه را که خیال کنی بر انها عرضی و محسوس نیز هست باور ورزید. باور کن زیرا که حتی در عشقهای عرضی و ظاهری نیز عشق به صورت و روان معشوق تعلق نمیگیرد. بلکه جان و روان معشوق است که موجد عشق و شیفتگی است.,تا که که در تو را <end> 
آنچه معشوق است معشوق نیست آن / خواه عشق این است خواه آ جهان,همه بدان عشق میورزند. این نیست. خواه عشق این جهانی باشد و خواه عشق ان جهانی.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
آنچه معشوق است او نیست آن / خواه عشق این است خواه آن نیست,همه بدان عشق میورزند. اینگونه نیست. خواه عشق این جهانی باشد و خواه عشق ان جهانی.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
آنچه بر دل تو عاشق گشتهای / چون روان شد جان از هشتهای,اگر تو فقط بر صورت و صورتتان لبخند میزنی. چرا وقتی که تو از ان کالبد لذت میجوید دیگر بدان توجه نمیکنی,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
